Clave_entidad,Entidad_federativa,Clave_municipio,Nombre_municipio,Clave_localidad,Clave_AGEB,Folio_AGEB,Población_total ,Viviendas_habitadas,Población_de_15_años_con_educación_básica_incompleta,Población_15_24_no_asiste_a_la_escuela,Población_sin_derechohabiencia,Personas_que_viven_en_hacinamiento,Viviendas_sin_anitario,Viviendas_sin_lavadora,Viviendas_sin_refrigerador,Viviendas_sin_teléfono_fijo,Población_15_años_o_más_analfabeta,Población_6_14 años_no_asiste_a_escuela,Viviendas_con_piso_tierra,Viviendas_sin_agua_entubada,Viviendas_sin_drenaje,Viviendas_sin_energía_eléctrica,Rezago_social
19,Nuevo León,46,San Nicolás de los Garza,1,42,1904600010042.00,1859,545,30.26199913,53.15599823,24.79800034,0.739000022,1.100999951,17.06399918,3.118999958,31.55999947,1.681237391,2.564102564,0.550458716,0.183486239,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,57,1904600010057.00,1520,442,27.20499992,57.63499832,19.40800095,0.948000014,4.977000237,15.61100006,5.881999969,31.89999962,1.164725458,2.48447205,0,0.452488688,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,76,1904600010076.00,4304,1179,28.9260006,50.98699951,18.19199944,0.25999999,2.204999924,7.633999825,3.986000061,19.08399963,1.880877743,2.914798206,0.678541137,0,0,0.169635284,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,95,1904600010095.00,1460,441,22.56999969,52.2120018,23.90399933,2.142999887,5.215000153,19.27400017,8.390000343,34.69400024,1.944209637,1.829268293,0.453514739,0.453514739,0.22675737,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,108,1904600010108.00,2907,824,29.17399979,54.45299911,22.56599998,2.566999912,5.340000153,18.93199921,8.373999596,32.64599991,1.929982047,4.719764012,0.242718447,0,0,0.121359223,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,127,1904600010127.00,4640,1309,25.76300049,44.44400024,16.4659996,0.462000012,0.381999999,6.493999958,1.070000052,12.29899979,1.277705346,2.395209581,0.993124523,0.076394194,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,131,1904600010131.00,4692,1374,7.768000126,33.1609993,15.94200039,0.152999997,4.730999947,9.243000031,5.386000156,11.64500046,0.220534183,2.279202279,0.291120815,0.509461426,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,146,1904600010146.00,3316,983,23.68099976,44.08399963,22.40699959,0.637000024,4.171000004,16.27700043,5.798999786,25.63599968,1.291036518,0.949367089,0.508646999,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,017A,190460001017A,4742,1241,21.01099968,48.17200089,20.56100082,0.893999994,0.725000024,6.446000099,1.692000031,16.1970005,1.59835009,2.303262956,0.483481064,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,184,1904600010184.00,3599,1138,10.3920002,28.70400047,15.61499977,0,0.43900001,3.338999987,0.967000008,5.008999825,0.388475235,4.792332268,2.636203866,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,201,1904600010201.00,4213,1293,16.52400017,31.50900078,15.45199966,0.078000002,0.619000018,7.347000122,1.315000057,10.28600025,0.51369863,2.617801047,1.082753287,0.07733952,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,216,1904600010216.00,2126,647,7.333000183,21.75099945,10.63000011,0,0.155000001,3.864000082,1.235999942,5.255000114,0.115473441,1.449275362,2.627511592,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,220,1904600010220.00,1585,484,5.004000187,21.14699936,12.61800003,0,0,2.686000109,0.825999975,3.512000084,0.074682599,2.919708029,1.239669421,0.20661157,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,235,1904600010235.00,2226,668,12.79300022,28.48999977,13.74699974,0,0.150000006,2.993999958,1.047999978,4.789999962,0.272182907,5.434782609,3.74251497,0.149700599,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,024A,190460001024A,2866,843,26.3579998,32.63199997,10.99100018,0,0.237000003,5.813000202,1.304999948,6.524000168,1.257096513,0.896860987,1.423487544,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,031A,190460001031A,1879,542,10.31400013,27.4829998,16.3920002,0,0.55400002,5.534999847,0.368999988,9.409999847,0,0.701754386,0.36900369,0.184501845,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,324,1904600010324.00,2609,814,21.15500069,43.91500092,19.58600044,0.123999998,0.368999988,7.739999771,1.350999951,14.61900043,0.923787529,3.03030303,1.842751843,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,339,1904600010339.00,1352,399,17.87299919,52.08300018,15.01500034,0.252000004,0.751999974,6.014999866,1.253000021,10.02499962,0.446827525,2.222222222,0,0.501253133,0,0.250626566,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,343,1904600010343.00,6508,1630,36.04199982,66.53500366,19.63699913,0.927999973,0.368000001,12.45400047,3.190000057,31.47200012,3.03993642,2.097902098,0.061349693,0.061349693,0,0.061349693,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,362,1904600010362.00,6006,1683,20.42000008,44.45700073,16.83300018,0.301999986,1.664000034,6.59499979,1.960999966,14.02299976,0.968473109,1.128349788,0.178253119,0,0.059417706,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,381,1904600010381.00,3734,1097,21.95000076,48.6629982,19.65699959,0.185000002,1.641000032,9.663000107,2.917000055,20.32799911,0.958677686,1.71990172,0.091157703,0,0.091157703,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,413,1904600010413.00,4201,1081,9.451999664,30.17300034,18.75699997,0.765999973,1.294999957,7.401000023,4.532999992,16.65099907,0.322580645,0.836820084,0.740055504,0.370027752,0.092506938,0.092506938,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,447,1904600010447.00,3131,817,6.839000225,28.68199921,15.10700035,0.125,2.203000069,4.162000179,2.325999975,11.26099968,0.086021505,1.243339254,0.367197062,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,466,1904600010466.00,2400,598,3.740999937,25.13699913,16.54199982,0,4.34800005,7.357999802,5.017000198,8.862999916,0.053447354,1.132075472,0.334448161,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,485,1904600010485.00,3378,927,6.639999866,32.0719986,15.60099983,0.112999998,3.344000101,6.903999805,4.638999939,10.24800014,0.216528329,0.295857988,1.294498382,0.539374326,0.107874865,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,049A,190460001049A,3007,958,2.674000025,23.7329998,15.06499958,0,2.088000059,9.602999687,3.967000008,13.67399979,0.11627907,1.171875,0.208768267,0.104384134,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,536,1904600010536.00,5064,1175,31.21299934,66.8010025,20.85300064,1.962000012,0.085000001,10.55300045,2.72300005,34.97900009,2.587601078,2.933673469,0.85106383,0.255319149,0.085106383,0.085106383,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,540,1904600010540.00,5577,1434,21.5909996,41.28499985,22.59300041,1.052000046,0.279000014,8.088999748,2.022000074,17.15500069,1.348066298,1.347305389,0.418410042,0,0,0.069735007,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,593,1904600010593.00,5410,1427,5.453999996,30.61499977,14.30700016,0,0,3.644000053,0.56099999,10.02099991,0.107469103,1.140350877,0.070077085,0.070077085,0.070077085,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,610,1904600010610.00,667,180,5.263000011,26.92300034,5.847000122,0.555999994,0,2.221999884,0.555999994,19.44400024,0.219298246,3.883495146,0.555555556,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,625,1904600010625.00,746,190,15.0710001,61.00600052,20.375,0,1.578999996,6.842000008,0.526000023,24.21100044,1.241134752,0,1.052631579,1.578947368,1.052631579,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,663,1904600010663.00,299,73,9.777999878,20.51300049,8.361000061,2.778000116,0,4.110000134,0,9.588999748,0,1.886792453,0,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,682,1904600010682.00,3437,879,11.78999996,47.99300003,13.9659996,0.229000002,0.340999991,3.868000031,1.820000052,15.0170002,0.695786625,0.871459695,0.568828214,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,070A,190460001070A,1204,290,21.49399948,46.88999939,17.85700035,2.778000116,1.034000039,12.06900024,4.138000011,23.10300064,1.609195402,2.403846154,0.344827586,0.344827586,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,714,1904600010714.00,4117,1071,35.40599823,63.10699844,15.73999977,0.47299999,2.894000053,10.08399963,2.707999945,24.37000084,1.5625,3.565062389,0.186741363,0,0.093370682,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,752,1904600010752.00,2198,579,8.001999855,38.43199921,16.37899971,0.178000003,2.763000011,8.289999962,3.627000093,14.68000031,0.111919418,0.803212851,0.172711572,0,0,0.172711572,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,786,1904600010786.00,5265,1380,31.02700043,54.55599976,23.02000046,1.891000032,0.216999993,11.23200035,3.332999945,29.27499962,2.403495994,2.094972067,0.507246377,0.072463768,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,822,1904600010822.00,2043,482,27.0909996,72.09799957,23.05400085,2.339999914,1.036999941,11.82600021,4.979000092,32.77999878,2.372034956,4.511278195,0.20746888,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,841,1904600010841.00,2937,741,26.25499916,63.43700027,24.65099907,0.95599997,0.944999993,6.882999897,2.969000101,26.72100067,1.844701845,4.696132597,1.079622132,0,0.134952767,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,856,1904600010856.00,5702,1441,17.17000008,46.31000137,18.74799919,0.421000004,1.388000011,8.18900013,2.637000084,16.79400063,0.522371111,1.652892562,1.318528799,0.069396253,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,860,1904600010860.00,3960,951,26.02499962,55.33200073,22.87899971,1.409999967,1.366999984,10.40999985,3.891000032,28.07600021,2.16338392,3.168316832,0.105152471,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,875,1904600010875.00,4493,1206,9.465999603,32.52700043,16.53700066,0.083999999,1.575000048,5.30700016,1.906999946,11.35999966,0.289245333,2.398081535,0.912106136,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,088A,190460001088A,4664,1214,15.30099964,49.25699997,18.78199959,0.264999986,6.013000011,11.86200047,7.989999771,18.12199974,0.60782241,0.666666667,0.494233937,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,894,1904600010894.00,3170,767,13.54699993,40.21300125,19.55800056,0.400999993,2.60800004,8.213999748,2.21600008,18.77400017,1.042084168,1.078167116,1.043024772,0,0,0.130378096,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,907,1904600010907.00,3958,993,16.00300026,47.32899857,20.41399956,0.418000013,3.927000046,10.06999969,4.329999924,20.64500046,0.605674211,1.284796574,0.302114804,0.201409869,0.201409869,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,926,1904600010926.00,5994,1290,37.23500061,71.77400208,26.02599907,2.700999975,2.247999907,14.3409996,5.039000034,40.07799911,3.061683926,1.975308642,0.852713178,0.15503876,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,930,1904600010930.00,3276,887,8.612000465,34.1570015,13.27799988,0.116999999,3.269000053,7.665999889,4.28399992,12.40100002,0.22564874,2.78551532,0.901916573,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,945,1904600010945.00,3972,1064,13.71800041,34.23799896,19.05800056,0.578999996,2.726000071,10.99600029,3.664999962,18.2329998,1.396054628,2.209944751,0.093984962,0.187969925,0,0.093984962,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,095A,190460001095A,3572,813,39.7480011,65.4240036,21.55699921,2.098999977,0.123000003,12.54599953,2.09100008,34.68600082,4.523544679,5.07518797,1.10701107,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,979,1904600010979.00,3186,881,16.69300079,32.94400024,17.01199913,0.455000013,0.114,5.675000191,0.907999992,11.01000023,1.011673152,2.134146341,0.340522134,0.340522134,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,998,1904600010998.00,6715,1630,19.95499992,56.98899841,21.23600006,0.368999988,0.307000011,7.790999889,2.085999966,22.51499939,1.001511716,1.658767773,0.490797546,0.061349693,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1002,1904600011002.00,3558,811,46.90200043,77.89499664,24.76099968,2.224999905,0.493000001,14.18000031,2.959000111,44.26599884,3.450834879,5.273833671,0.863131936,0.493218249,0,0.246609125,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1017,1904600011017.00,4766,1225,19.24200058,60.4070015,21.75799942,0.654999971,0.815999985,8.979999542,2.694000006,28.40800095,0.725611395,2.113821138,0.326530612,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1021,1904600011021.00,4408,1142,12.14700031,38.47700119,15.5170002,0.174999997,0.263000011,4.991000175,0.524999976,9.895000458,0.403985995,1.941747573,0.175131349,0.087565674,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1040,1904600011040.00,3873,968,7.186999798,38.20299911,17.91900063,0,0.103,3.201999903,0.310000002,9.401000023,0.215916101,0.301204819,0.103305785,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1055,1904600011055.00,7975,1959,20.45299911,49.51699829,18.64599991,0.256999999,0.765999973,7.09499979,1.480000019,19.60199928,1.140808344,1.259689922,0.255232261,0.153139357,0,0.102092905,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,106A,190460001106A,955,241,6.973999977,34.21099854,14.03100014,0.414999992,0,2.49000001,0.414999992,5.809000015,0.394736842,1,0,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1074,1904600011074.00,5475,1361,6.580999851,24.63999939,18.20999908,0,0.219999999,3.305999994,0.588,7.934999943,0.193563997,1.809954751,0.073475386,0.073475386,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1089,1904600011089.00,3718,830,40.63800049,74.70700073,23.39999962,3.506999969,0.601999998,17.34900093,6.386000156,39.39799881,3.448275862,1.682242991,1.445783133,0.240963855,0.120481928,0.481927711,Bajo
