"Edades","Mujeres","Hombres","Total"
"Menos de 12 años",49938,51376,101314
"12 a 17 años",25282,26370,51652
"18 a 24 años",30231,31487,61718
"25 a 29 años",19872,20330,40202
"30 a 34 años",18790,18757,37547
"35 a 39 años",18544,18561,37105
"40 a 44 años",18321,17916,36237
"45 a 49 años",17280,17340,34620
"50 a 54 años",14272,14255,28527
"55 a 59 años",9733,9908,19641
"60 a 64 años",6923,6824,13747
"65 años o más",9720,8899,18619
"Edad desconocida",146,138,284
"Total",239052,242161,481213
